"Measure_Type","Employment_type","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Sex","Value","Value_type","confidence_interval","Numerator","Denominator","Samp_size"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","Wales","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","Wales","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","West Midlands","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","West Midlands","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","West Midlands","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","West Midlands","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","West Midlands","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","West Midlands","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","Yorkshire and The Humber","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","Yorkshire and The Humber","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","Yorkshire and The Humber","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","Yorkshire and The Humber","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian Other","Detailed","2004","Year","Yorkshire and The Humber","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian Other","Detailed","2004","Year","Yorkshire and The Humber","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Black","ONS 2011 5+1","2004","Year","All","All","8.5","%","1.9","37800","446200","2000"
"Permanent and temporary employment","Permanent","Black","ONS 2011 5+1","2004","Year","All","All","91.5","%","1.9","408300","446200","2000"
"Permanent and temporary employment","Temporary","Black","ONS 2011 5+1","2004","Year","All","Men","8.1","%","2.9","16900","208900","874"
"Permanent and temporary employment","Permanent","Black","ONS 2011 5+1","2004","Year","All","Men","91.9","%","2.9","192100","208900","874"
"Permanent and temporary employment","Temporary","Black","ONS 2011 5+1","2004","Year","All","Women","8.8","%","2.6","21000","237200","1126"
"Permanent and temporary employment","Permanent","Black","ONS 2011 5+1","2004","Year","All","Women","91.2","%","2.6","216300","237200","1126"
"Permanent and temporary employment","Temporary","Black","ONS 2011 5+1","2004","Year","East Midlands","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Black","ONS 2011 5+1","2004","Year","East Midlands","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Black","ONS 2011 5+1","2004","Year","East Midlands","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Black","ONS 2011 5+1","2004","Year","East Midlands","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Black","ONS 2011 5+1","2004","Year","East Midlands","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Black","ONS 2011 5+1","2004","Year","East Midlands","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Black","ONS 2011 5+1","2004","Year","East of England","All","6.7","%","5.9","1800","26800","169"
"Permanent and temporary employment","Permanent","Black","ONS 2011 5+1","2004","Year","East of England","All","93.3","%","5.9","25000","26800","169"
"Permanent and temporary employment","Temporary","Black","ONS 2011 5+1","2004","Year","East of England","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Black","ONS 2011 5+1","2004","Year","East of England","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Black","ONS 2011 5+1","2004","Year","East of England","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Black","ONS 2011 5+1","2004","Year","East of England","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Black","ONS 2011 5+1","2004","Year","London","All","8.5","%","2.8","22700","265900","982"
