"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Age Bracket","Percentage","Percentage: Lower bound","Percentage: Upper bound","Estimated number of people (thousands)","Estimated number of people (thousands): lower bound","Estimated number of people (thousands): upper bound","Note"
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","45-54","96.4","96","96.8","7,802","7,769","7,835",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","55-64","90.8","90.2","91.5","6,400","6,354","6,447",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","65-74","78.1","77.1","79","4,869","4,810","4,928",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","75+","41","38.9","43","1,987","1,889","2,085",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","16-24","99.3","98.2","?","346","343"," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","25-34","98.1","96.5","99.7","412","405","418",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","35-44","98.7","97.5","?","325","321"," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","45-54","94.9","91.7","98.1","194","188","201",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","55-64","89","83.1","95","102","96","109",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","65-74"," ?","?","?"," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","75+"," ?","?","?"," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","16-24","98.9","98","99.9","604","599","610",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","25-34","98.7","97.9","99.6","799","792","806",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","35-44","96.7","95.4","98","762","752","773",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","45-54","93","90.7","95.3","490","477","502",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","55-64","73.1","68","78.2","229","213","245",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","65-74","62","54.6","69.4","95","84","107",""
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","UK","75+","28.6","18.4","38.8","26","17","36",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","16-24","99.1","97.8","?","291","287"," ? ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","25-34","97.3","95.1","99.6","275","269","281",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","35-44","98.3","96.9","99.8","312","307","317",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","45-54","96.9","94.9","99","315","308","321",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","55-64","88.4","83.2","93.5","150","141","158",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","65-74","55.8","42.1","69.5","28","21","34",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","UK","UK","75+","31","15.2","46.9","24","12","36",""
"Used the internet in the last 3 months","2018","Year","All","All","UK","UK","16+","89.8","89.5","90.1","47535","47379","47690",""
"Used the internet in the last 3 months","2018","Year","All","All","North East","Region","16+","87.6","86.1","89.2","1879","1846","1913",""
"Used the internet in the last 3 months","2018","Year","All","All","North West","Region","16+","89","88.1","89.9","5140","5087","5193",""
"Used the internet in the last 3 months","2018","Year","All","All","Yorkshire and the Humber","Region","16+","87.9","86.8","89","3831","3784","3877",""
"Used the internet in the last 3 months","2018","Year","All","All","East Midlands","Region","16+","88.4","87.3","89.6","3372","3330","3415",""
"Used the internet in the last 3 months","2018","Year","All","All","West Midlands","Region","16+","88.7","87.7","89.7","4102","4054","4150",""
"Used the internet in the last 3 months","2018","Year","All","All","East of England","Region","16+","90.6","89.7","91.5","4482","4437","4528",""
"Used the internet in the last 3 months","2018","Year","All","All","London","Region","16+","92.6","91.8","93.4","6578","6521","6635",""
"Used the internet in the last 3 months","2018","Year","All","All","South East","Region","16+","92","91.2","92.7","6670","6618","6723",""
"Used the internet in the last 3 months","2018","Year","All","All","South West","Region","16+","89.8","88.8","90.7","4035","3993","4078",""
