"Ethnicity","Local Authority","Number","%"
"White","Bromley","1,099","3.17"
"White","Buckinghamshire","2,012","3.38"
"White","Bury","1,705","7.61"
"White","Calderdale","1,065","3.80"
"White","Cambridgeshire","2,941","3.99"
"White","Camden","407","4.64"
"White","Central Bedfordshire","1,500","3.87"
"White","Cheshire East","3,180","6.44"
"White","Cheshire West and Chester","1,821","3.91"
"White","City of London","0","0.00"
"White","Cornwall","2,455","3.54"
"White","Coventry","2,359","7.25"
"White","Croydon","569","2.73"
"White","Cumbria","3,215","4.91"
"White","Darlington","882","5.88"
"White","Derby","1,559","5.54"
"White","Derbyshire","4,680","4.66"
"White","Devon","4,359","4.69"
"White","Doncaster","10,174","23.62"
"White","Dorset","3,114","5.89"
"White","Dudley","1,750","4.79"
"White","Durham","3,408","4.92"
"White","Ealing","336","2.07"
"White","East Riding of Yorkshire","1,936","4.47"
"White","East Sussex","3,806","6.28"
"White","Enfield","1,410","4.97"
"White","Essex","7,687","4.27"
"White","Gateshead","1,396","5.45"
"White","Gloucestershire","3,447","4.46"
"White","Greenwich","992","5.37"
"White","Hackney","467","3.91"
"White","Halton","835","4.57"
"White","Hammersmith and Fulham","349","4.02"
"White","Hampshire","7,361","4.62"
"White","Haringey","580","3.12"
"White","Harrow","211","2.12"
"White","Hartlepool","4,830","33.53"
"White","Havering","742","2.65"
"White","Herefordshire","924","4.11"
"White","Hertfordshire","6,188","4.12"
"White","Hillingdon","928","4.31"
"White","Hounslow","733","5.00"
"White","Isle of Wight","981","6.18"
"White","Isles Of Scilly","2","0.77"
"White","Islington","677","6.41"
"White","Kensington and Chelsea","190","3.73"
"White","Kent","9,602","4.83"
"White","Kingston upon Hull City of","1,103","3.08"
"White","Kingston upon Thames","243","1.64"
"White","Kirklees","3,032","7.26"
"White","Knowsley","796","4.19"
"White","Lambeth","245","2.05"
"White","Lancashire","6,569","4.61"
"White","Leeds","3,987","4.60"
"White","Leicester","1,207","6.14"
"White","Leicestershire","2,815","3.43"
"White","Lewisham","379","2.75"
"White","Lincolnshire","4,366","4.40"
"White","Liverpool","2,103","3.67"
"White","Luton","828","6.70"
"White","Manchester","2,671","7.52"
"White","Medway","2,258","6.15"
"White","Merton","368","2.58"
"White","Middlesbrough","3,776","19.92"
"White","Milton Keynes","2,111","7.14"
"White","Newcastle upon Tyne","1,695","5.81"
"White","Newham","407","3.77"
"White","Norfolk","6,366","6.08"
"White","North East Lincolnshire","1,304","5.84"
"White","North Lincolnshire","2,226","9.91"
"White","North Somerset","1,389","4.91"
"White","North Tyneside","740","2.60"
"White","North Yorkshire","5,623","7.25"
"White","Northamptonshire","4,507","4.67"
"White","Northumberland","4,246","9.76"
"White","Nottingham","1,710","6.96"
"White","Nottinghamshire","6,020","5.61"
"White","Oldham","1,035","4.20"
"White","Oxfordshire","3,731","4.87"
"White","Peterborough","1,686","6.57"
"White","Plymouth","2,599","7.26"
"White","Poole","1,070","6.09"
"White","Portsmouth","2,448","11.53"
"White","Reading","679","5.81"
"White","Redbridge","372","2.76"
"White","Redcar and Cleveland","4,087","19.51"
"White","Richmond upon Thames","545","2.75"
"White","Rochdale","1,361","5.99"
"White","Rotherham","3,251","8.51"
"White","Rutland","66","1.26"
"White","Salford","1,349","4.75"
"White","Sandwell","1,218","4.23"
"White","Sefton","1,029","2.75"
"White","Sheffield","4,201","7.52"
"White","Shropshire","1,764","4.79"
"White","Slough","309","3.67"
"White","Solihull","1,456","4.93"
"White","Somerset","5,037","7.66"
"White","South Gloucestershire","2,755","8.00"
"White","South Tyneside","537","2.71"
"White","Southampton","1,176","4.96"
"White","Southend-on-Sea","1,030","4.47"
"White","Southwark","440","3.53"
"White","St. Helens","1,440","5.69"
"White","Staffordshire","5,067","4.73"
"White","Stockport","1,541","4.46"
"White","Stockton-on-Tees","5,298","18.87"
"White","Stoke-on-Trent","2,751","9.50"
"White","Suffolk","4,884","5.37"
"White","Sunderland","3,675","9.86"
"White","Surrey","4,682","3.66"
"White","Sutton","910","4.22"
"White","Swindon","1,839","6.96"
"White","Tameside","2,431","8.37"
"White","Telford and Wrekin","2,666","10.93"
"White","Thurrock","449","2.22"
"White","Torbay","1,337","7.16"
"White","Tower Hamlets","328","5.50"
"White","Trafford","885","3.07"
"White","Wakefield","4,229","8.94"
"White","Walsall","1,524","4.78"
"White","Waltham Forest","608","3.69"
