"Ethnicity","Local Authority","Number","%"
"Chinese","North East Lincolnshire","0","0.00"
"Chinese","North Lincolnshire","0","0.00"
"Chinese","North Somerset","0","0.00"
"Chinese","North Tyneside","0","0.00"
"Chinese","North Yorkshire","0","0.00"
"Chinese","Northamptonshire","0","0.00"
"Chinese","Northumberland","0","0.00"
"Chinese","Nottingham","0","0.00"
"Chinese","Nottinghamshire","0","0.00"
"Chinese","Oldham","0","0.00"
"Chinese","Oxfordshire","0","0.00"
"Chinese","Peterborough","0","0.00"
"Chinese","Plymouth","0","0.00"
"Chinese","Poole","0","0.00"
"Chinese","Portsmouth","0","0.00"
"Chinese","Reading","0","0.00"
"Chinese","Redbridge","0","0.00"
"Chinese","Redcar and Cleveland","0","0.00"
"Chinese","Richmond upon Thames","0","0.00"
"Chinese","Rochdale","0","0.00"
"Chinese","Rotherham","0","0.00"
"Chinese","Rutland","0","0.00"
"Chinese","Salford","0","0.00"
"Chinese","Sandwell","0","0.00"
"Chinese","Sefton","0","0.00"
"Chinese","Sheffield","0","0.00"
"Chinese","Shropshire","0","0.00"
"Chinese","Slough","0","0.00"
"Chinese","Solihull","0","0.00"
"Chinese","Somerset","0","0.00"
"Chinese","South Gloucestershire","0","0.00"
"Chinese","South Tyneside","0","0.00"
"Chinese","Southampton","0","0.00"
"Chinese","Southend-on-Sea","0","0.00"
"Chinese","Southwark","0","0.00"
"Chinese","St. Helens","0","0.00"
"Chinese","Staffordshire","0","0.00"
"Chinese","Stockport","0","0.00"
"Chinese","Stockton-on-Tees","0","0.00"
"Chinese","Stoke-on-Trent","0","0.00"
"Chinese","Suffolk","0","0.00"
"Chinese","Sunderland","1","0.77"
"Chinese","Surrey","0","0.00"
"Chinese","Sutton","0","0.00"
"Chinese","Swindon","0","0.00"
"Chinese","Tameside","0","0.00"
"Chinese","Telford and Wrekin","0","0.00"
"Chinese","Thurrock","0","0.00"
"Chinese","Torbay","0","0.00"
"Chinese","Tower Hamlets","0","0.00"
"Chinese","Trafford","0","0.00"
"Chinese","Wakefield","0","0.00"
"Chinese","Walsall","0","0.00"
"Chinese","Waltham Forest","0","0.00"
"Chinese","Wandsworth","0","0.00"
"Chinese","Warrington","0","0.00"
"Chinese","Warwickshire","0","0.00"
"Chinese","West Berkshire","0","0.00"
"Chinese","West Sussex","0","0.00"
"Chinese","Westminster","0","0.00"
"Chinese","Wigan","0","0.00"
"Chinese","Wiltshire","0","0.00"
"Chinese","Windsor and Maidenhead","0","0.00"
"Chinese","Wirral","1","0.39"
"Chinese","Wokingham","0","0.00"
"Chinese","Wolverhampton","0","0.00"
"Chinese","Worcestershire","0","0.00"
"Chinese","York","0","0.00"
"Mixed","Barking and Dagenham","3","0.09"
"Mixed","Barnet","5","0.08"
"Mixed","Barnsley","1","0.13"
"Mixed","Bath and North East Somerset","3","0.22"
"Mixed","Bedford","12","0.43"
"Mixed","Bexley","4","0.13"
"Mixed","Birmingham","33","0.20"
"Mixed","Blackburn with Darwen","1","0.11"
"Mixed","Blackpool","3","0.50"
"Mixed","Bolton","4","0.20"
"Mixed","Bournemouth","8","0.51"
"Mixed","Bracknell Forest","0","0.00"
"Mixed","Bradford","1","0.02"
"Mixed","Brent","1","0.03"
"Mixed","Brighton and Hove","2","0.06"
"Mixed","Bristol City of","2","0.04"
"Mixed","Bromley","7","0.13"
"Mixed","Buckinghamshire","8","0.13"
"Mixed","Bury","3","0.22"
"Mixed","Calderdale","1","0.07"
"Mixed","Cambridgeshire","0","0.00"
"Mixed","Camden","4","0.15"
"Mixed","Central Bedfordshire","7","0.27"
"Mixed","Cheshire East","4","0.22"
"Mixed","Cheshire West and Chester","1","0.08"
"Mixed","City of London","0","0.00"
"Mixed","Cornwall","0","0.00"
"Mixed","Coventry","11","0.30"
"Mixed","Croydon","7","0.08"
"Mixed","Cumbria","3","0.28"
"Mixed","Darlington","0","0.00"
"Mixed","Derby","11","0.35"
"Mixed","Derbyshire","7","0.24"
"Mixed","Devon","5","0.23"
"Mixed","Doncaster","1","0.07"
"Mixed","Dorset","4","0.25"
"Mixed","Dudley","12","0.38"
"Mixed","Durham","2","0.19"
"Mixed","Ealing","15","0.32"
"Mixed","East Riding of Yorkshire","1","0.10"
"Mixed","East Sussex","9","0.28"
"Mixed","Enfield","11","0.18"
"Mixed","Essex","8","0.08"
"Mixed","Gateshead","2","0.35"
"Mixed","Gloucestershire","8","0.20"
"Mixed","Greenwich","2","0.04"
"Mixed","Hackney","9","0.25"
"Mixed","Halton","1","0.21"
"Mixed","Hammersmith and Fulham","6","0.23"
"Mixed","Hampshire","2","0.03"
"Mixed","Haringey","5","0.11"
"Mixed","Harrow","7","0.23"
"Mixed","Hartlepool","0","0.00"
"Mixed","Havering","3","0.11"
"Mixed","Herefordshire","0","0.00"
"Mixed","Hertfordshire","28","0.20"
"Mixed","Hillingdon","7","0.12"
"Mixed","Hounslow","5","0.13"
"Mixed","Isle of Wight","0","0.00"
"Mixed","Isles Of Scilly","0","0.00"
"Mixed","Islington","8","0.21"
"Mixed","Kensington and Chelsea","5","0.23"
"Mixed","Kent","3","0.02"
"Mixed","Kingston upon Hull City of","1","0.07"
"Mixed","Kingston upon Thames","1","0.04"
"Mixed","Kirklees","11","0.25"
"Mixed","Knowsley","1","0.23"
"Mixed","Lambeth","14","0.26"
"Mixed","Lancashire","14","0.26"
"Mixed","Leeds","1","0.01"
"Mixed","Leicester","4","0.10"
"Mixed","Leicestershire","2","0.04"
"Mixed","Lewisham","8","0.13"
"Mixed","Lincolnshire","2","0.07"
"Mixed","Liverpool","9","0.23"
"Mixed","Luton","6","0.19"
"Mixed","Manchester","16","0.22"
"Mixed","Medway","4","0.14"
"Mixed","Merton","1","0.03"
"Mixed","Middlesbrough","1","0.08"
"Mixed","Milton Keynes","0","0.00"
"Mixed","Newcastle upon Tyne","2","0.12"
"Mixed","Newham","3","0.07"
"Mixed","Norfolk","9","0.25"
"Mixed","North East Lincolnshire","1","0.16"
"Mixed","North Lincolnshire","1","0.22"
"Mixed","North Somerset","4","0.39"
"Mixed","North Tyneside","0","0.00"
"Mixed","North Yorkshire","5","0.25"
"Mixed","Northamptonshire","10","0.16"
"Mixed","Northumberland","4","0.51"
"Mixed","Nottingham","11","0.19"
"Mixed","Nottinghamshire","3","0.06"
"Mixed","Oldham","2","0.10"
"Mixed","Oxfordshire","4","0.07"
"Mixed","Peterborough","3","0.13"
"Mixed","Plymouth","0","0.00"
"Mixed","Poole","2","0.24"
"Mixed","Portsmouth","2","0.15"
"Mixed","Reading","3","0.13"
"Mixed","Redbridge","5","0.12"
